Channel_Name,Engagement_Rate,Monthly_Views,Monthly _Subscriber _Growth (%),Absolute_Monthly _Subscriber _Growth
Puzzle guy,5.19%,42200,-0.22%,"-5,700"
MenT,8.49%,120500,0.01%,79
Игорь Линк,6.79%,227400,0.00%,51
HONEST GUIDE,4.14%,141100,0.01%,138
Jirka Král,6.94%,0,0.00%,0
Silvie Mahdal,7.23%,1100000,0.91%,"23,900"
Godzu,3.30%,21200,0.00%,-8
PedrosGame,7.50%,33500,0.00%,-5
RC T4K,1.84%,3200,0.10%,981
DIY crafts from A4 PAPER,1.10%,31900,0.77%,"9,400"
Adam Something,6.76%,689500,0.83%,"10,500"
Kovy,6.83%,209700,0.05%,516
Baxtrix,8.02%,109700,8.02%,"109,700"
TVTwixx,4.89%,77700,4.89%,"77,700"
FattyPillowTV,5.40%,15200,0.10%,846
FIZIstyle,2.68%,275000,0.72%,"8,300"
Porty,5.12%,100900,0.06%,563
Wedry,9.28%,64900,0.05%,382
ViralBrothers SHOW,2.13%,14700,0.10%,"1,000"
PLASMO - plastic models,4.85%,109200,0.01%,66
United Music Events #weareonthemission,7.06%,4700,0.48%,"4,100"
TopTrendingCZ,5.42%,55600,0.10%,666
SirYakari,4.85%,311500,0.53%,"4,600"
Radio Free Europe/Radio Liberty,4.84%,78000,0.11%,910
Suara Injil,14.87%,36800,0.34%,"2,500"
Tractors Chemer,0.92%,60400,0.17%,"1,500"
Agraelus,7.94%,71200,0.00%,20
petangames,6.98%,54300,0.07%,454
NejFake,8.37%,6800,0.00%,0
Ben Cristovao,2.24%,36600,2.24%,443
MR.GAMING,6.53%,1800,0.00%,-25
Milion Plus,4.74%,220300,0.23%,"1,400"
atomic marvel,1.82%,179200,1.33%,"10,400"
AtiShow,5.97%,122300,0.25%,"1,500"
Slza,4.30%,18000,0.00%,0
Jmenuju Se Martin,8.52%,65500,-0.06%,-329
Александр Закшевский,13.01%,29100,0.76%,"9,400"
FILMY ČESKY,1.49%,2000,0.86%,"5,400"
Hendysovo Doupě,6.07%,19800,0.00%,7
КАК БЫТЬ ЗДОРОВЫМ,5.30%,1600,0.00%,0
Smusa,5.44%,261700,0.00%,22
SmusaGames,9.91%,50300,0.19%,934
Anna Sulc,3.87%,102600,0.03%,126
Blakkwood Records,2.84%,52800,0.13%,666
Aik & Johanka,3.97%,14100,0.17%,885
Frenchcore Hardcore,4.67%,51100,0.23%,"1,200"
DJ Wich,3.47%,8900,0.76%,"3,500"
Stay12,8.33%,89800,-0.06%,-293
nadjib haffaf,3.94%,3600,0.03%,120
Kluci z Prahy,4.44%,278000,0.41%,"2,400"
Mr. Michal,3.32%,159500,4.27%,"45,600"
EvilBender47,6.89%,144300,0.22%,"1,100"
Vidrail,8.19%,216800,0.90%,"4,500"
Pat a Mat,0.44%,192500,0.00%,0
Crafák,4.91%,2400,0.00%,0
Adam Ondra,3.22%,170900,0.58%,"3,300"
PROJEKT CREEP,5.31%,192100,0.97%,"4,500"
Alex Moukala Music,6.12%,328700,-0.02%,-80
Bé Hà Stylewithme,4.72%,17900,0.10%,419
GetTheLouk,4.14%,48300,0.00%,-6
Sterakdary,5.56%,40500,0.09%,349
BESPREDEL,1.97%,19100,0.47%,"2,300"
Carrie Kirsten,3.40%,74300,0.00%,-5
MaTTem,6.64%,265300,0.46%,"2,500"
Svět podle Katky,5.79%,27300,-0.01%,-33
FactsForYou,0.96%,28600,0.00%,-6
SCS Software,6.10%,16800,0.59%,"2,400"
MarleyKKT,5.69%,567700,0.20%,782
Attack,3.40%,367200,0.88%,"5,500"
JanBendigOfficial,2.21%,280600,0.88%,"3,500"
Veronika Spurná,5.25%,325100,0.00%,0
TOP veci do 2 minut,7.36%,59100,0.08%,304
Alkanhraje,6.50%,79900,0.99%,"4,200"
Prague Cello Quartet,2.06%,38100,0.12%,430
N3roGames,6.47%,12500,0.51%,"1,900"
PIERRE XO,9.07%,4300,-0.03%,-101
TOP Topics,1.87%,29800,0.00%,2
tynikdy,2.82%,439,0.20%,666
Pokáčovo Kanál,2.74%,110300,0.10%,358
RoUmEan Channel,6.32%,12600,0.00%,0
Johnny Valda,3.48%,2800,-0.21%,-636
Brain Blaze,6.61%,81700,0.51%,"2,400"
The Casual Criminalist,4.71%,129900,0.58%,"3,500"
Jon Marianek,5.55%,214600,1.11%,"11,100"
diradosveta,5.57%,225700,0.00%,0
rady,5.07%,124300,0.02%,77
Boris GameX,0.54%,7500,0.13%,398
Dadusak,2.26%,37600,0.00%,0
L E A,3.92%,8900,0.01%,31
Štístko a Poupěnka,0.09%,37400,0.57%,"2,200"
Totalfilm.cz,2.28%,12500,0.46%,"1,500"
ZEK,4.86%,30300,0.28%,919
Ondra Vlček,4.47%,14200,0.09%,251
Disney Channel Česká republika,0.65%,3900,0.14%,476
Tvoje tvář má známý hlas,1.20%,16500,0.00%,0
Алексей Ворон,12.85%,7200,0.81%,"3,300"
SýrYakari,5.45%,197700,0.63%,"2,200"
HORIZONSPACE,2.83%,74,0.00%,0
JenTheGayLord,2.26%,0,0.00%,0
Jakub Destro,6.75%,78100,0.82%,"3,200"
