#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,total_subscribers,total_views,total_videos,Engagement_Rate,Monthly_Views,Monthly _Subscriber _Growth (%),Absolute_Monthly _Subscriber _Growth
1,Puzzle guy@UCGl7qkMPao3EBkxIDlPal4g,1.7M,0.30%,Czech Republic,,501K,2560000,1607531237,916,0.0519,42200,-0.0022,-5700
2,MenT@UCk-1Oa5qkBUXNKYdK95os8g,1.4M,0.40%,Czech Republic,,432K,1540000,909996312,3045,0.0849,120500,0.0001,79
3,Игорь Линк@UCptRK95GEDXvJGOQIFg50fg,1.2M,-,Czech Republic,,366K,1250000,244281413,466,0.0679,227400,0,51
4,HONEST GUIDE@UCt7oj318jVQi7vRbc1bNjJA,1.2M,0.40%,Czech Republic,,348K,1400000,166736190,235,0.0414,141100,0.0001,138
5,Jirka Král@UCCAHP3LeWVBvrMnV-Lu4FOQ,1.1M,3.20%,Czech Republic,,333K,1110000,374807720,1167,0.0694,0,0,0
6,Silvie Mahdal@UCQp5qNTmUn1MlgF2RD2f7MQ,1M,0.80%,Czech Republic,,306K,2640000,435113553,125,0.0723,1100000,0.0091,23900
7,Godzu@UCek8zsIojbAidIscsWK-vhQ,1M,0.10%,Czech Republic,,303K,1070000,490568076,3743,0.033,21200,0,-8
8,PedrosGame@UC3EBc4yDCaOArj7r-RljB3w,978K,0.20%,Czech Republic,,293.4K,1000000,375640999,2827,0.075,33500,0,-5
9,RC T4K@UCCkZxA9D3REfV95HI30QcQQ,964K,-,Czech Republic,,289.2K,1000000,510742639,1790,0.0184,3200,0.001,981
10,DIY crafts from A4 PAPER@UCQRYdu-8IU0hbWCXFOe7BhA,937K,0.10%,Czech Republic,,281.1K,1220000,215113689,181,0.011,31900,0.0077,9400
11,Adam Something@UCcvfHa-GHSOHFAjU0-Ie57A,924K,3.50%,Czech Republic,,277.2K,1280000,142693193,133,0.0676,689500,0.0083,10500
12,Kovy@UCGC8o-hW_TS-UpnThU0Wa1w,883K,1.60%,Czech Republic,,264.9K,977000,259017214,324,0.0683,209700,0.0005,516
13,Baxtrix@UCiHtAViQdUMJeHuPq5cJjVw,871K,-,Czech Republic,,261.3K,890000,776715265,2119,0.0802,109700,0.0802,109700
14,TVTwixx@UCnJSOADExesS_6CboP3dtVw,844K,-,Czech Republic,,253.2K,879000,385957120,979,0.0489,77700,0.0489,77700
15,FattyPillowTV@UC_c01No6K3fhgPafCUzEf6w,815K,0.50%,Czech Republic,,244.5K,859000,270324626,1356,0.054,15200,0.001,846
16,FIZIstyle@UC4Gumj80pOghE8G7xq4Yxjg,764K,1.80%,Czech Republic,,229.2K,1160000,733687815,488,0.0268,275000,0.0072,8300
17,Porty@UCmuQS6Vpw4JxVMPsTRCqAZg,736K,-,Czech Republic,,220.8K,943000,395901573,1615,0.0512,100900,0.0006,563
18,Wedry@UCeCLFJeRK1qBp3pxNupkNiA,724K,-,Czech Republic,,217.2K,765000,340808652,2108,0.0928,64900,0.0005,382
19,ViralBrothers SHOW@UCiVhsXk-DUzlf0BvBXnIxog,709K,21.50%,Czech Republic,,212.7K,1040000,552835963,83,0.0213,14700,0.001,1000
